SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILITY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
2022/2023,3636248,Kwantlen Park Secondary,36,Surrey                                  ,Public School,10441 132 St,Surrey                        ,STANDARD,SECONDARY,YES,YES,NO,NO,49.1925143,-122.85774
2022/2023,8484041,Kyuquot Elementary Secondary,84,Vancouver Island West                   ,Public School,General Delivery,Kyuquot                       ,STANDARD,ELEMENTARY SECONDARY,NO,NO,NO,NO,50.0328456,-127.37469
2022/2023,3636079,L A Matheson Secondary,36,Surrey                                  ,Public School,9484 122 St,Surrey                        ,STANDARD,SECONDARY,YES,NO,NO,NO,49.1753648,-122.88345
2022/2023,807013,L V Rogers Secondary,8,Kootenay Lake                           ,Public School,1004 Cottonwood Street,Nelson                        ,STANDARD,SECONDARY,NO,YES,NO,NO,49.5011502,-117.27212
2022/2023,3939043,L'Ecole Bilingue Elementary,39,Vancouver                               ,Public School,1166 W 14th Ave,Vancouver                     ,STANDARD,ELEMENTARY,NO,YES,NO,NO,49.2583142,-123.13036
2022/2023,9393012,La Confluence,93,Conseil scolaire francophone            ,Public School,820 11 Ave S,Golden                        ,STANDARD,ELEMENTARY,NO,NO,NO,YES,51.2962799,-116.96099
2022/2023,9393013,La Grande-ourse,93,Conseil scolaire francophone            ,Public School,3490 Fulton Ave,Smithers                      ,STANDARD,ELEMENTARY,NO,NO,NO,YES,54.7786947,-127.15769
2022/2023,9348020,La Passerelle,93,Conseil scolaire francophone            ,Public School,1509 Spring Creek Dr,Whistler                      ,STANDARD,ELEMENTARY,NO,NO,NO,YES,50.0862201,-123.02167
2022/2023,9348024,La Vallee,93,Conseil scolaire francophone            ,Public School,1410 Portage Rd,Pemberton                     ,STANDARD,ELEMENTARY,NO,NO,NO,YES,50.3190495,-122.80445
2022/2023,9333002,La Verendrye,93,Conseil scolaire francophone            ,Public School,6610 Lickman Rd,Chilliwack                    ,STANDARD,ELEMENTARY,NO,NO,NO,YES,49.1223552,-122.00624
2022/2023,2727030,Lac La Hache Elementary,27,Cariboo-Chilcotin                       ,Public School,PO Box 128,Lac La Hache                  ,STANDARD,ELEMENTARY,YES,NO,NO,NO,51.8186098,-121.48234
2022/2023,3737001,Ladner Elementary,37,Delta                                   ,Public School,5016 44 Ave,Delta                         ,STANDARD,ELEMENTARY,YES,YES,NO,NO,49.0822039,-123.08481
